boatid,name,zulu,lat,lon,cog,sog,windspd
148846,My boat,2020-05-14 00-43-16,37.5992038925982,6.89285120043387,126.891,3.4957008,5.4292032
148866,My boat,2020-05-14 00-43-16,56.3424724028308,-10.1334397757928,211.443,4.8469752,9.863272799999999
148233,Surprise,2020-05-14 00-43-16,31.5494959881539,-66.3489687262314,104.129,8.214372000000001,13.907376
108116,Mezentius,2020-05-14 01-00-34,69.8755620686054,-56.9759996418318,143.076,1.9807415999999998,6.4721592
148846,My boat,2020-05-14 01-00-34,37.5874171299906,6.9126105405613,126.828,3.5520767999999996,5.5466208
148866,My boat,2020-05-14 01-00-34,56.3191762739228,-10.1584460661063,209.849,4.87458,9.9414216
148233,Surprise,2020-05-14 01-00-34,31.538248734561,-66.2970196066856,104.34,8.2064016,13.964529599999999
108116,Mezentius,2020-05-14 01-47-23,69.8536062191239,-56.9284147471253,143.568,1.9830744,6.4888775999999995
148846,My boat,2020-05-14 01-47-23,37.5583299030584,6.96250146557291,125.591,3.5684063999999998,5.5672272
148866,My boat,2020-05-14 01-47-23,56.2609697705762,-10.2174099596284,208.419,4.7929319999999995,9.5240448
148233,Surprise,2020-05-14 01-47-23,31.5102629144502,-66.1681662942937,104.397,8.1894888,13.9085424
108116,Mezentius,2020-05-14 02-20-37,69.8403307501325,-56.9000653607514,143.839,1.9844351999999998,6.4995696
148846,My boat,2020-05-14 02-20-37,37.5412411914398,6.99290591919528,124.813,3.5755991999999996,5.5738368
148866,My boat,2020-05-14 02-20-37,56.2261807431088,-10.2510183838444,208.329,4.7108951999999995,9.1725696
148233,Surprise,2020-05-14 02-20-37,31.4933522426536,-66.0911750461338,104.604,8.1836568,13.927788
108116,Mezentius,2020-05-14 03-56-04,69.7955950220093,-56.8065134683804,144.603,1.9889063999999999,6.5355336
148846,My boat,2020-05-14 03-56-04,37.4842021400702,7.09666468002301,125.216,3.6700776,5.7948696
148866,My boat,2020-05-14 03-56-04,56.1156244636197,-10.3615096053909,210.295,4.3446456,7.882142399999999
148233,Surprise,2020-05-14 03-56-04,31.4345914011858,-65.8338811000597,105.389,8.192016,14.059008
108116,Mezentius,2020-05-14 04-26-30,69.7843493122652,-56.7789439747023,130.92,1.5209856,4.7000088
148846,My boat,2020-05-14 04-26-30,37.4625881398793,7.1265554917496,140.933,4.1788224,6.8154696
148866,My boat,2020-05-14 04-26-30,56.0876736756858,-10.3990799157549,226.755,4.0779288000000005,7.3374336
148233,Surprise,2020-05-14 04-26-30,31.4162214714994,-65.7571823874751,106.028,8.2099008,14.4017352
108116,Mezentius,2020-05-14 04-35-33,69.7815702948607,-56.769666355399,125.968,1.4216471999999998,4.3162632
148846,My boat,2020-05-14 04-35-33,37.4582060763753,7.1344107338928,62.6471,3.9864636,7.35895368
148866,My boat,2020-05-14 04-35-33,56.082108780229,-10.4093408053258,-11.8701,3.6489852000000003,7.3612087200000005
148233,Surprise,2020-05-14 04-35-33,31.4125381743338,-65.7337703121629,100.863,8.48091384,14.701966559999999
108116,Mezentius,2020-05-14 05-49-46,69.7762458792196,-56.7067410475479,64.0263,1.124604,3.442824
148846,My boat,2020-05-14 05-49-46,37.4918487111735,7.22918340174069,71.2025,4.4795592,8.8317864
148866,My boat,2020-05-14 05-49-46,56.1558978125337,-10.4124831256517,8.9697,4.2221736,9.2771568
148233,Surprise,2020-05-14 05-49-46,31.3726437047591,-65.555843760263,104.513,8.2896048,14.9310864
108116,Mezentius,2020-05-14 05-58-20,69.7776208894713,-56.6985762215898,55.6746,1.1710656000000002,3.6638568
148846,My boat,2020-05-14 05-58-20,37.4958671612221,7.24406267286707,72.2128,4.5367128,9.0310464
148866,My boat,2020-05-14 05-58-20,56.1675082070037,-10.4091925943004,10.7939,4.317818399999999,9.652931999999998
148233,Surprise,2020-05-14 05-58-20,31.3631636841201,-65.5385314236845,124.494,13.58371944,15.931157760000001
