name,lat0,lon0,lat1,lon1,clat,clon
Ross Sea,-85.23690564656795,-180.0000000000008,-71.34517179391742,179.9999995044261,-78.29103872024268,-2.477873408679443e-07
Bay of Bengal,6.772362225870552,79.75619506835955,23.759910617499884,94.60211181640653,15.266136421685218,87.17915344238304
Strait of Malacca,0.2203611135485062,97.50374984741211,6.859555721283073,104.33984236560559,3.5399584174157894,100.92179610650885
Davis Strait,65.55755498818169,-62.950916290283196,67.98202514648439,-50.255916595459006,66.76979006733305,-56.6034164428711
Baffin Bay,66.6454162597656,-82.21997070312501,78.2479705810547,-49.972526550293004,72.44669342041016,-66.09624862670901
Larsen Sound,69.05955505371091,-101.18423230698501,71.3132781982422,-95.7540588378906,70.18641662597656,-98.46914557243781
Bellingshausen Sea,-73.89194084394506,-88.73749945866263,-69.91834022606105,-66.72905674359868,-71.90514053500306,-77.73327810113065
Cumberland Sound,64.2168928909597,-68.3680801391602,66.6724166870117,-63.597583770752,65.4446547889857,-65.9828319549561
Labrador Sea,53.233722686767635,-68.98327636718744,65.94125366210955,-44.07836151123047,59.58748817443859,-56.530818939208956
Drake Passage,-63.08766472787852,-69.08169555664057,-54.74041748046858,-57.640067962546425,-58.91404110417355,-63.3608817595935
Foxe Basin,63.75097274780285,-85.19519805908192,70.70855712890642,-72.04719543457014,67.22976493835463,-78.62119674682603
Kane Basin,78.1753921508789,-78.863166809082,82.3091125488281,-57.20741653442379,80.2422523498535,-68.0352916717529
Queen Maud Gulf,67.519889831543,-105.54560852050801,68.9771957397461,-97.0134201049805,68.24854278564455,-101.27951431274425
Gulf of Boothia,67.0964736938477,-94.6326370239258,72.82358551025389,-84.5135803222656,69.9600296020508,-89.5731086730957
McClintok Channel,70.1113357543945,-105.53283691406301,73.5720138549805,-98.8104705810547,71.8416748046875,-102.17165374755885
Viscount Melville Sound,72.7786407470703,-115.32241821289101,75.6953353881836,-95.0439987182617,74.23698806762695,-105.18320846557636
Denmark Strait,65.50688391916015,-29.475860595703125,69.11038970947271,-22.33927726745611,67.30863681431643,-25.90756893157962
Beaufort Sea,68.64002990722679,-156.6413574218749,74.34288787841808,-123.75172424316395,71.49145889282244,-140.19654083251942
Mozambique Channel,-24.3322995859542,34.58508512,-10.9990389012917,49.2437210083008,-17.66566924362295,41.914403064150406
Black Sea,40.908748626709006,27.3062229156494,46.8895568847656,41.779529571533196,43.899152755737305,34.542876243591294
